arm,size,seed,precision,conf,frozen,micro_f1,recall,count_mae_pct,net_bias_pct,provenance
base,320,0,fp32,0.05,0,0.0,0.0,2700.0,2700.0,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.1,0,0.0,0.0,1500.0,1500.0,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.15,0,0.0,0.0,1000.0,1000.0,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.2,0,0.0,0.0,600.0,600.0,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.25,0,0.0,0.0,500.0,500.0,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.3,0,0.0,0.0,500.0,500.0,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.35,0,0.0,0.0,500.0,500.0,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.4,1,0.0,0.0,500.0,500.0,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.45,0,0.0,0.0,400.0,400.0,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.5,0,0.0,0.0,400.0,400.0,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.55,0,0.0,0.0,100.0,100.0,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.6,0,0.0,0.0,100.0,100.0,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.65,0,0.0,0.0,100.0,100.0,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.7,0,0.0,0.0,100.0,100.0,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.75,0,0.0,0.0,100.0,100.0,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.8,0,0.0,0.0,0.0,0.0,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.85,0,0.0,0.0,0.0,0.0,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.9,0,0.0,0.0,0.0,0.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.05,0,0.0,0.0,0.0,0.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.1,0,0.0,0.0,0.0,0.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.15,0,0.0,0.0,0.0,0.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.2,0,0.0,0.0,0.0,0.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.25,0,0.0,0.0,0.0,0.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.3,0,0.0,0.0,0.0,0.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.35,0,0.0,0.0,0.0,0.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.4,1,0.0,0.0,0.0,0.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.45,0,0.0,0.0,0.0,0.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.5,0,0.0,0.0,0.0,0.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.55,0,0.0,0.0,0.0,0.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.6,0,0.0,0.0,0.0,0.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.65,0,0.0,0.0,0.0,0.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.7,0,0.0,0.0,0.0,0.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.75,0,0.0,0.0,0.0,0.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.8,0,0.0,0.0,0.0,0.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.85,0,0.0,0.0,0.0,0.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.9,0,0.0,0.0,0.0,0.0,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.05,0,0.0,0.0,800.0,800.0,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.1,0,0.0,0.0,600.0,600.0,nntool-sq8-ne16(unknown)
