conf,count_mae_img,count_bias_img,micro_f1,macro_f1
0.05,0.8602,0.8491,0.4414,0.459
0.1,0.4656,0.4424,0.5736,0.552
0.15,0.3055,0.268,0.6577,0.6136
0.2,0.2238,0.1756,0.7097,0.651
0.25,0.1746,0.1104,0.7462,0.6745
0.3,0.1439,0.0635,0.7732,0.6905
0.35,0.1245,0.0283,0.7912,0.7046
0.4,0.1154,-0.0018,0.8032,0.713
0.45,0.1102,-0.028,0.8097,0.7136
0.5,0.1131,-0.0564,0.8084,0.7031
0.55,0.1234,-0.0855,0.7956,0.678
0.6,0.141,-0.1161,0.7714,0.6457
0.65,0.1626,-0.1466,0.736,0.597
0.7,0.2042,-0.1948,0.6559,0.5167
0.75,0.2666,-0.2605,0.514,0.3918
0.8,0.348,-0.345,0.2632,0.2066
0.85,0.4,-0.3985,0.0492,0.0444
0.9,0.4087,-0.4083,0.0054,0.0077
