conf,count_mae_img,count_bias_img,micro_f1,macro_f1
0.05,0.6834,0.6736,0.5036,0.4754
0.1,0.3723,0.3523,0.6336,0.5757
0.15,0.2565,0.2241,0.7011,0.6244
0.2,0.1943,0.1524,0.7451,0.6618
0.25,0.1508,0.0984,0.7797,0.6924
0.3,0.1248,0.0572,0.8043,0.7107
0.35,0.1072,0.0285,0.821,0.7239
0.4,0.0946,0.0006,0.8351,0.7428
0.45,0.0913,-0.0219,0.8382,0.7406
0.5,0.0925,-0.0462,0.8395,0.7407
0.55,0.102,-0.0702,0.8319,0.7223
0.6,0.1121,-0.0936,0.819,0.6924
0.65,0.1355,-0.1233,0.7873,0.6491
0.7,0.1718,-0.1661,0.7232,0.5694
0.75,0.2385,-0.2363,0.5842,0.4056
0.8,0.334,-0.3339,0.3108,0.2182
0.85,0.3996,-0.3996,0.048,0.0404
0.9,0.4088,-0.4088,0.0045,0.0054
