conf,count_mae_img,count_bias_img,micro_f1,macro_f1
0.05,1.8136,1.8085,0.2713,0.2831
0.1,0.4468,0.4069,0.5436,0.487
0.15,0.2092,0.1274,0.6657,0.5972
0.2,0.136,0.0058,0.7152,0.6647
0.25,0.1235,-0.0629,0.7191,0.692
0.3,0.1441,-0.1182,0.6997,0.6944
0.35,0.1781,-0.1675,0.6571,0.6752
0.4,0.218,-0.2143,0.5925,0.645
0.45,0.2617,-0.2599,0.5021,0.5847
0.5,0.3057,-0.3048,0.3898,0.5105
0.55,0.3434,-0.3428,0.2705,0.3995
0.6,0.3708,-0.3708,0.1692,0.281
0.65,0.3926,-0.3926,0.0796,0.1408
0.7,0.4048,-0.4048,0.0236,0.0352
0.75,0.4088,-0.4088,0.004,0.0052
0.8,0.4095,-0.4095,0.0009,0.0011
0.85,0.4097,-0.4097,0.0,0.0
0.9,0.4097,-0.4097,0.0,0.0
