conf,count_mae_img,count_bias_img,micro_f1,macro_f1
0.05,3.862,3.8618,0.1361,0.1671
0.1,0.968,0.9366,0.3408,0.2657
0.15,0.4249,0.3128,0.4963,0.3308
0.2,0.2691,0.0667,0.5829,0.3572
0.25,0.2229,-0.0573,0.6093,0.345
0.3,0.223,-0.1462,0.6009,0.3099
0.35,0.2436,-0.2065,0.5654,0.2609
0.4,0.2696,-0.2524,0.5037,0.2128
0.45,0.2967,-0.2888,0.4282,0.1718
0.5,0.3291,-0.3262,0.327,0.1352
0.55,0.3663,-0.3652,0.1907,0.1004
0.6,0.3902,-0.3898,0.0903,0.0674
0.65,0.4011,-0.4009,0.0415,0.0416
0.7,0.4059,-0.4059,0.0183,0.0205
0.75,0.4088,-0.4088,0.0045,0.0054
0.8,0.4094,-0.4094,0.0014,0.0016
0.85,0.4097,-0.4097,0.0,0.0
0.9,0.4097,-0.4097,0.0,0.0
