conf,count_mae_img,count_bias_img,micro_f1,macro_f1
0.05,2.9323,2.9299,0.1923,0.2025
0.1,0.791,0.7679,0.4285,0.3974
0.15,0.3454,0.2863,0.5785,0.5196
0.2,0.2006,0.0918,0.654,0.5943
0.25,0.1555,-0.0102,0.6861,0.6393
0.3,0.1502,-0.0827,0.6863,0.6551
0.35,0.1745,-0.1413,0.6562,0.6458
0.4,0.2098,-0.1926,0.6051,0.6211
0.45,0.2496,-0.2411,0.5315,0.5779
0.5,0.2932,-0.2895,0.4257,0.5132
0.55,0.3343,-0.3325,0.3042,0.4249
0.6,0.3615,-0.36,0.2095,0.3153
0.65,0.3815,-0.3813,0.1282,0.1878
0.7,0.3991,-0.3989,0.0505,0.076
0.75,0.407,-0.407,0.013,0.0188
0.8,0.4095,-0.4095,0.0009,0.0014
0.85,0.4097,-0.4097,0.0,0.0
0.9,0.4097,-0.4097,0.0,0.0
