epoch,map50,map5095,best
1,0.0,0.0,0
2,0.1076,0.0432,0
3,0.148,0.0443,0
4,0.1937,0.0542,0
5,0.2086,0.0707,0
6,0.195,0.0653,0
7,0.3254,0.1186,0
8,0.2733,0.0975,0
9,0.402,0.1598,0
10,0.2699,0.0855,0
11,0.3711,0.1392,0
12,0.308,0.0972,0
13,0.3438,0.1175,0
14,0.4065,0.1633,0
15,0.4134,0.1515,0
16,0.3786,0.1382,0
17,0.3484,0.1245,0
18,0.4169,0.1565,0
19,0.3263,0.1109,0
20,0.3953,0.1386,0
21,0.4028,0.1513,0
22,0.4627,0.1788,0
23,0.4294,0.1679,0
24,0.4311,0.1618,0
25,0.4187,0.1539,0
26,0.4361,0.1576,0
27,0.4697,0.1813,0
28,0.462,0.1788,0
29,0.4797,0.1878,0
30,0.4712,0.1833,0
31,0.4666,0.1817,0
32,0.4996,0.1962,0
33,0.4889,0.1941,0
34,0.4862,0.1936,0
35,0.4896,0.1937,0
36,0.4852,0.1922,0
37,0.4867,0.194,0
38,0.4821,0.1932,0
39,0.487,0.1957,0
40,0.4893,0.1975,0
41,0.4867,0.1954,0
42,0.4959,0.1982,0
43,0.4997,0.2009,0
44,0.4986,0.2005,0
45,0.5018,0.2007,0
46,0.5033,0.201,0
47,0.5019,0.2,0
48,0.4981,0.1999,0
49,0.5057,0.2008,0
50,0.5061,0.2015,0
51,0.5075,0.2032,0
52,0.5072,0.2034,0
53,0.5067,0.204,0
54,0.5087,0.2051,0
55,0.5097,0.2061,0
56,0.5121,0.2074,0
57,0.5135,0.2089,0
58,0.5143,0.2099,0
59,0.5143,0.2106,0
60,0.5174,0.2111,0
61,0.5153,0.2107,0
62,0.5163,0.2105,0
63,0.517,0.2109,0
64,0.5176,0.2109,0
65,0.5165,0.2106,0
66,0.5177,0.2113,0
67,0.5188,0.2117,0
68,0.5193,0.2122,0
69,0.5213,0.2126,0
70,0.5203,0.2126,0
71,0.5235,0.2126,0
72,0.5244,0.2131,0
73,0.5249,0.2132,0
74,0.527,0.215,0
75,0.5299,0.2172,0
76,0.5315,0.2186,0
77,0.5325,0.218,0
78,0.5324,0.2193,0
79,0.5319,0.2198,0
80,0.5336,0.2209,0
81,0.5278,0.2207,0
82,0.5276,0.2209,0
83,0.5302,0.2204,0
84,0.5329,0.2212,0
85,0.533,0.2215,0
86,0.5346,0.2227,0
87,0.5354,0.223,0
88,0.5363,0.2233,0
89,0.5388,0.2247,0
90,0.5392,0.2255,0
91,0.5395,0.2256,0
92,0.5404,0.2268,0
93,0.5405,0.2264,0
94,0.5427,0.2273,0
95,0.5445,0.2282,0
96,0.5446,0.2292,0
97,0.5463,0.2301,0
98,0.5472,0.2309,0
99,0.5501,0.2318,0
100,0.5495,0.2309,0
101,0.5502,0.2312,0
102,0.5514,0.2314,0
103,0.5517,0.2311,0
104,0.552,0.2325,0
105,0.5532,0.2316,0
106,0.5539,0.2316,0
107,0.5549,0.2328,0
108,0.5552,0.2332,0
109,0.5567,0.2334,0
110,0.5583,0.2343,0
111,0.5593,0.2349,0
112,0.5596,0.2357,0
113,0.561,0.2353,0
114,0.5613,0.2356,0
115,0.5617,0.2364,0
116,0.5619,0.2368,0
117,0.5619,0.2366,0
118,0.5617,0.2374,0
119,0.5622,0.2375,0
120,0.5631,0.2373,0
121,0.5639,0.2376,0
122,0.5644,0.2375,0
123,0.5643,0.2383,0
124,0.5645,0.2381,0
125,0.5655,0.2387,1
126,0.5645,0.2385,0
127,0.5649,0.2385,0
128,0.5645,0.238,0
